id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
1,24,male,child,dry & plenty,93.42487246,49.93434613,379.462014,544.1599976,14.64674262,15.7142752,0,868.3528061,149.1647873,2242.380398,1135.306384,22.30084701,7.0,5,7,9,1.0,1.0,0.93239492,2.8639989,0.24925135,1.255923,1.3143612,0.24222594,-1.5185856,1.3888521,0.316459,-0.174297,0.31402093,1.0,1.0,0.37810713,1.0,0.89635122,0.15651895,0.44256967
7,29,female,adult,dry & plenty,90.47024895,41.14022847,643.8129567,333.1501129,13.82391486,21.64333068,0,1177.284774,406.3348775,3307.395826,1348.146703,88.29175784,5.0,4,4,5,1.0,1.0,0.76224673,1.6469382,0.61913514,-1.6836177,-1.5224837,-0.27408808,0.85378611,0.36987981,-0.15300176,-0.59986514,-0.91908073,1.0,0.41643766,0.10239937,1.0,0.7531395,0.13656981,0.28848302
9,30,female,adult,dry & plenty,93.61178698,16.96507459,735.1833955,746.0775176,24.09440846,28.80052624,0,2145.159525,1218.281546,3463.937309,5774.34808,238.2294133,8.0,4,5,6,1.0,1.0,0.85828203,2.0592191,0.48125657,-0.024477666,-0.56149876,-0.12846105,-0.030543536,1.0721887,-0.18360211,-0.061154135,0.19924682,1.0,0.93259692,0.17847709,1.0,0.85184568,0.1470796,0.42822766
11,27,female,adult,dry & plenty,133.0151334,65.58092062,681.9896265,262.0995125,16.63246355,25.15790189,0,1311.437978,214.6616507,3848.748213,1243.081994,42.49837351,5.0,3,4,5,1.0,1.0,0.75602806,1.6058965,0.62957704,-1.7910538,-1.6181479,-0.49914804,0.92075872,-0.065672465,-0.50224119,-0.59986514,-1.0033388,1.0,0.32762438,0.15310597,0.67081767,0.69192469,0.10672911,0.27795425
14,24,male,child,dry & plenty,73.85681997,40.10186685,302.7301473,133.1217423,8.404517903,13.50389646,0,691.7000858,111.5657489,1867.624671,393.4317207,20.0238795,5.0,3,4,7,1.0,1.0,0.81119514,1.9374676,0.52713972,-0.83796763,-0.84528929,-0.45281217,0.26374316,0.24165574,-0.50224119,-0.52488202,-1.0996873,1.0,0.26624349,0.21475108,0.92971456,0.73511821,0.11880558,0.26591468
18,28,female,adult,dry & plenty,109.1387815,52.74373759,345.3455433,465.1365524,18.34530211,19.97870261,0,1541.62199,656.6568951,2287.061773,2283.258844,237.3175923,14.0,7,8,9,1.0,1.0,0.91176265,2.6987729,0.55718249,0.89947265,0.92923617,0.071139641,0.45643237,0.62075281,0.9309926,1.0519875,0.91598213,1.0,0.58142072,0.14897048,1.0,0.7883985,0.13890018,0.5177899
19,27,female,adult,dry & plenty,136.946052,42.98277811,723.9193025,678.3364898,23.00824458,28.41137771,0,1883.293712,569.3021808,3820.796746,2861.364328,219.1578988,13.0,6,7,8,1.0,1.0,0.88350886,2.6353869,0.52160257,0.41135007,0.78148997,0.043643624,0.22822882,0.97995555,0.57031262,0.88329118,1.5329667,1.0,0.8479206,0.18537588,1.0,0.83888274,0.14199643,0.59488744
21,32,female,adult,dry & plenty,98.27045118,22.39793543,637.47072,377.5098391,16.0190209,23.59956888,0,1258.920097,488.3236293,3144.530103,2454.394353,139.5468687,6.0,4,4,5,1.0,1.0,0.82655227,2.05779,0.62863594,-0.57265228,-0.56482983,-0.06667988,0.91472268,0.46335012,-0.11475132,-0.3928836,-0.2038012,1.0,0.47188729,0.12577052,1.0,0.7662763,0.1377781,0.37786335
23,28,female,adult,dry & plenty,145.037492,58.97318731,386.6777491,274.1786348,20.33344639,24.93295133,0,1484.33671,122.5327317,2653.527825,147.7726133,55.4507945,10.0,4,5,6,0.547306,1.0,0.83755374,2.0651956,0.60736603,-0.38258699,-0.54756826,-0.1549387,0.778301,-0.90163475,-0.10200117,0.35436654,0.76424092,1.0,0.34272328,0.17366096,0.38291478,0.57443416,0.083661146,0.49882853
25,29,female,adult,dry & plenty,89.1885432,41.79670674,427.5022781,209.2442137,10.37133504,15.88366786,0,823.5409584,93.62932071,2442.933646,529.1892476,12.60588559,5.0,3,4,5,1.0,0.38199654,0.75611156,1.6253785,0.62969512,-1.7896111,-1.5727372,-0.49914804,0.921516,-1.3904467,-0.50224119,-0.52488202,-1.0033388,1.0,0.26155525,0.098260522,0.29259163,0.50573397,0.079166643,0.27795425
27,35,female,adult,dry & plenty,75.14678383,25.08941704,680.6870589,305.8852464,11.65483506,13.11273118,0,1020.598701,77.43449436,3017.334742,46.20574293,32.47996794,8.0,4,5,6,0.17113239,0.98424143,0.72222847,1.4694186,0.69589502,-2.3749876,-1.9362638,-0.1549387,1.3461109,-1.5842985,-0.15300176,-0.054601904,-0.6346938,1.0,0.38235655,0.091220997,0.24198279,0.47848901,0.053421646,0.32401961
28,24,female,child,dry & plenty,42.0219393,24.62636778,275.2072081,115.0709585,5.532545107,6.269751434,0,468.7082699,32.27110432,1318.783874,74.48822872,8.344778601,8.0,3,5,8,0.37244114,0.64190602,0.7867946,1.8345848,0.58740777,-1.2595199,-1.0850985,0.06846641,0.65029216,-1.9416521,-0.62501127,-0.050961778,-0.6346938,0.92202228,0.23014192,0.13415091,0.26892588,0.42826468,0.054618731,0.32401961
31,35,female,adult,dry & plenty,56.76053473,9.601192321,503.0962271,238.2230832,9.911329557,14.1553502,0,782.1305359,241.6758208,2325.839578,1159.141356,58.04904208,3.0,2,2,3,1.0,1.0,0.7309922,1.4491626,0.61750257,-2.2235823,-1.9834785,-0.48061368,0.84331512,-0.095455438,-0.92626756,-0.92653358,-0.61356938,1.0,0.29777884,0.073417254,0.75523692,0.68773884,0.10436638,0.32665929
34,24,male,child,dry & plenty,64.68234356,34.53780086,139.7070529,65.55958547,5.904584308,7.821498629,0,442.8664927,21.89767881,1128.182889,255.9677691,11.80784992,5.0,3,3,4,1.0,0.90829617,0.83603114,1.8598038,0.52354705,-0.40889198,-1.0263157,0.033714507,0.24070041,-0.95669091,-0.72116685,-0.72675973,-1.0467525,1.0,0.13111918,0.17828169,0.18248066,0.56669629,0.082102321,0.27252933
36,24,male,child,dry & plenty,82.27392667,32.90016934,328.7969841,753.6748154,22.05135902,12.22923045,0,901.1425583,119.1796986,1937.837649,338.6451695,2.930333046,4.0,4,4,5,1.0,0.22541024,0.87839931,2.2234559,0.26999503,0.32307568,-0.17867948,-0.59181976,-1.3855392,0.62485427,-0.25036651,-0.87449378,-1.3564175,1.0,1.0,0.51527506,0.99316418,0.78897494,0.12387901,0.23383403
