id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
2,20,female,adult,dry & plenty,129.3796987,400.4392389,572.1446778,270.6969188,16.98254627,22.73142798,0,1632.391831,180.4693711,6392.917725,1016.98344,42.88624464,10.0,5,7,9,1.0,1.0,0.90942121,2.7341852,0.49467388,0.85902095,1.0117787,-0.39720911,0.055512767,-0.17375115,0.18060936,0.31391776,1.1991532,1.0,0.33837116,0.15807036,0.56396681,0.67673475,0.10724332,0.55317456
3,22,female,adult,dry & plenty,105.9559286,109.4874582,520.2645352,541.9680436,16.75342119,20.18572481,0,1368.642179,559.6155288,3349.62708,3645.687757,138.167439,10.0,4,7,8,1.0,1.0,0.83875942,2.1729388,0.58361769,-0.36175719,-0.29642966,-0.086337529,0.62598324,0.72212273,-0.16028756,0.35436654,-0.20133942,1.0,0.67746007,0.13841335,1.0,0.80264556,0.13791488,0.37817097
4,12,female,child,dry & plenty,87.32012118,44.00904425,262.5145337,162.9802746,7.655130019,13.14322816,0,656.823307,53.23488345,1810.135221,245.9910442,8.556009189,5.0,3,5,8,1.0,0.65815455,0.88909441,2.4011664,0.36291754,0.50784802,0.23554572,-0.39323747,-0.78954995,-0.69225109,-0.54688483,-0.48988989,-1.147521,1.0,0.32596055,0.19543299,0.44362402,0.60386205,0.078902401,0.25993744
5,22,female,adult,dry & plenty,206.1741501,144.1153908,484.6160715,620.5338626,35.85322955,30.30386629,0,2057.160254,569.5786452,4032.629295,4283.584996,182.9362474,10.0,5,7,8,1.0,1.0,0.93488204,2.9403923,0.25484508,1.2988915,1.4924264,-0.058957241,-1.4827083,1.09954,0.27994451,0.3577739,0.072885089,1.0,0.77566731,0.35847121,1.0,0.85568976,0.11212093,0.41243768
6,12,male,child,dry & plenty,57.94298997,55.10705421,257.5693807,694.6383496,8.333187654,10.57297958,0,753.0172047,90.14479408,1730.967286,336.698819,67.61647008,6.0,4,6,8,1.0,1.0,0.8762551,2.2369785,0.26393738,0.28603142,-0.14715962,-0.25202337,-1.4243919,0.86902231,-0.22950263,-0.48354903,-0.92897791,1.0,1.0,0.18854289,0.75120664,0.8232916,0.1384493,0.28724629
8,12,female,child,dry & plenty,34.02504885,6.381409381,302.7930376,101.3717859,5.144998208,9.297896535,0,487.4494169,64.9860313,1404.705109,238.9199599,21.57911669,4.0,3,3,5,1.0,1.0,0.79000759,1.7233245,0.64605206,-1.2040112,-1.344435,-0.23437162,1.0264267,-0.42659324,-0.54688483,-0.73290908,-1.0865692,1.0,0.20274357,0.10289996,0.54155028,0.64119899,0.10326856,0.2675539
10,12,male,child,dry & plenty,59.50651329,10.49620001,730.4419468,125.9210003,8.626325015,14.21355351,0,942.4666694,37.65400042,2327.146667,1.513000237,1.281000212,8.0,3,5,6,0.007963159,0.098538481,0.7942732,1.6789169,0.69859874,-1.1303171,-1.4479445,-0.17479692,1.3634522,-2.7853122,-0.65105337,-0.050961778,-0.084945932,1.0,0.25184199,0.18602651,0.31378335,0.30969226,0.055287022,0.39271533
12,12,male,child,dry & plenty,31.28297915,14.9501546,159.3852948,101.0939448,4.086959643,5.835688111,0,483.0365448,98.27812859,897.2244871,371.8301374,14.98160467,5.0,5,5,6,1.0,1.0,0.72887576,1.4459031,0.64433682,-2.2601466,-1.9910762,-0.36940759,1.0154254,-0.27808127,0.46657419,-0.43740168,-1.147521,0.8581894,0.2021879,0.093068145,0.81898439,0.66207165,0.10693564,0.25993744
13,21,female,adult,dry & plenty,120.720463,53.3301294,549.404402,416.9904626,16.14249054,23.83317905,0,1746.79461,500.468093,3160.078401,1558.786178,154.2420084,7.0,5,6,7,1.0,1.0,0.8489871,2.1128347,0.52158082,-0.18506014,-0.4365263,-0.2211328,0.22808929,0.54028916,0.27994451,-0.22271284,-0.92671621,1.0,0.52123809,0.1413002,1.0,0.77708972,0.13777955,0.2875289
15,17,female,child,dry & plenty,128.7922175,45.28055542,728.0171088,349.6019982,15.92498998,25.75923168,0,1331.67546,240.1278328,3834.762304,1225.746112,40.94811999,6.0,5,6,8,1.0,1.0,0.77802056,1.8550061,0.67258286,-1.4111034,-1.0374986,0.16640361,1.1965908,1.0263106,0.27994451,-0.39563105,-0.70595497,1.0,0.69920397,0.37318218,1.0,0.84539771,0.14045259,0.31511492
16,12,male,child,dry & plenty,60.0193113,13.35381163,452.7538629,2890.576692,161.0414059,13.1257952,0,664.6874079,131.8004064,2172.598083,216.4244099,13.51447996,6.0,5,6,9,1.0,1.0,0.94609839,2.9674106,0.26063651,1.492669,1.5554034,-0.38330835,-1.4455631,2.1263285,0.26874673,-0.29012942,-0.70595497,1.0,1.0,1.0,1.0,1.0,0.11579198,0.31511492
17,12,female,child,dry & plenty,84.0137995,57.9308202,166.1753357,743.4254329,21.17969103,11.13205579,0,740.8038127,73.34600576,1501.343641,220.7403087,27.99430456,6.0,5,5,7,1.0,1.0,0.95825404,3.3075976,0.21160273,1.7026744,2.3483448,-0.32644159,-1.7600574,1.0498838,0.3849237,-0.27199632,-0.38939142,1.0,1.0,0.48104843,0.61121672,0.84871083,0.13052459,0.35467225
20,12,female,child,dry & plenty,42.87749907,26.14486613,240.6890013,790.0027851,7.091285224,8.049034351,0,608.5918268,37.63415718,1257.012738,161.1394186,4.828138693,7.0,5,7,9,0.84810221,0.37139529,0.90997088,2.5734129,0.34813762,0.86851734,0.63703471,-0.21270809,-0.88434589,-0.60702688,0.32414627,-0.25318933,-0.78479558,1.0,1.0,0.16192386,0.31361797,0.6158399,0.09124022,0.3052631
22,12,female,child,dry & plenty,66.86400916,35.3726161,212.2803859,457.6912181,5.970801145,11.38642293,0,828.6466279,70.52284927,1428.469067,183.8057386,27.519641,5.0,5,5,7,0.96739864,1.0,0.89766836,2.4569097,0.3909775,0.65597463,0.3654775,-0.36435276,-0.60957813,0.49911919,0.36228114,-0.61750823,-1.4173692,1.0,0.91538244,0.15734944,0.58769041,0.77130347,0.103915,0.22621758
24,12,male,child,dry & plenty,70.9486506,66.20241641,290.9113095,1401.399569,79.89913678,11.06208557,0,661.3283165,122.6727661,2035.375092,940.8231517,7.470200011,6.0,4,5,7,1.0,0.5746308,0.8994112,2.3276579,0.23975725,0.68608457,0.064204872,-0.20954883,-1.5794791,1.6219013,-0.18830985,-0.39055884,-0.95803928,1.0,1.0,1.0,1.0,0.92910516,0.099186413,0.28361481
26,12,female,child,dry & plenty,64.36760652,13.35200751,406.067281,3633.841207,192.5872725,12.07149378,0,729.7351861,124.9385463,2002.257089,53.20590737,10.64606936,3.0,3,3,5,0.28003109,0.81892842,0.85449272,2.0242143,0.27621564,-0.089943059,-0.6430915,-0.82349914,-1.3456411,1.0578226,-0.78126407,-0.75495327,-1.5848578,1.0,1.0,1.0,1.0,0.84982657,0.07344307,0.20528845
29,21,female,adult,dry & plenty,99.61126217,36.25606097,795.417777,290.2961644,16.33111484,23.86468704,0,1227.31955,253.779575,3889.486284,1220.653696,48.22640675,6.0,4,4,5,1.0,1.0,0.78072286,1.8452262,0.62769186,-1.3644176,-1.0602946,-0.24430072,0.9086675,0.091099627,-0.14400165,-0.42666093,-0.58903056,1.0,0.36287022,0.12781821,0.7930612,0.71395826,0.11043596,0.32972562
30,12,male,child,dry & plenty,41.43983658,15.46670774,340.0311065,154.7804682,8.36776459,9.510067718,0,682.3958079,130.1458352,1656.623931,418.1952625,112.3273766,8.0,4,7,9,1.0,1.0,0.83141804,2.0637434,0.52036667,-0.48858958,-0.55095321,0.24222594,0.22030196,0.32893676,-0.19800228,-0.05395953,-0.29329407,1.0,0.30956092,0.17475004,1.0,0.74738514,0.13169082,0.36668044
32,12,male,child,dry & plenty,48.41825446,14.58992212,260.0779146,281.4528182,4.688329259,9.114429497,0,612.2470627,38.13056396,1363.201837,68.05500969,1.711749877,3.0,3,3,4,0.35818425,0.13167307,0.77829069,1.5772635,0.33967578,-1.4064366,-1.6848885,-0.7586289,-0.93861866,-2.0455451,-0.83706862,-1.2133178,-1.5848578,1.0,0.56290561,0.11146041,0.31775469,0.413663,0.053510904,0.20528845
33,20,female,adult,dry & plenty,109.0863301,50.57335204,402.8905335,131.8916722,10.96646873,16.64535241,0,905.3519798,41.82616416,2502.640968,348.6725397,15.16089085,7.0,4,4,5,1.0,0.45942095,0.75182867,1.5222771,0.65243548,-1.8636038,-1.8130561,-0.12846105,1.0673689,-1.5918661,-0.14123239,-0.27753446,-0.6057533,1.0,0.16486458,0.1095603,0.13070676,0.47742543,0.077150777,0.32763597
35,21,female,adult,dry & plenty,177.0025455,93.22422578,917.888673,489.6518427,21.20700829,27.4215491,0,1812.01359,333.254257,4187.7893,1931.708637,53.24864405,8.0,5,6,7,1.0,1.0,0.81820416,1.9860777,0.63143706,-0.71687716,-0.73198408,-0.19024222,0.93268859,0.73553985,0.22904551,-0.038221333,-0.51181841,1.0,0.61206478,0.21512276,1.0,0.80453128,0.1294878,0.33937395
37,21,female,adult,dry & plenty,114.8886668,43.12931478,495.1247494,247.4040357,14.16008638,19.62913136,0,983.5059072,110.4684137,2831.793834,423.3740796,17.39345012,6.0,3,4,5,1.0,0.52707422,0.87997288,2.3825729,0.37549847,0.35026112,0.19220605,-0.31380454,-0.70885801,-1.0481505,-0.55148053,-0.34132874,-1.0154294,1.0,0.30925503,0.14150938,0.3452138,0.55384207,0.081048511,0.27644342
39,20,female,adult,dry & plenty,152.983398,55.27110758,701.5420207,476.4601801,19.2144978,26.17419236,0,1475.192925,463.1106968,3915.364243,2779.366721,116.852999,7.0,3,4,5,1.0,1.0,0.85443521,2.2868843,0.52008986,-0.090936773,-0.030834319,-0.31380454,0.21852659,0.65744179,-0.42614403,-0.21866351,-0.56874734,1.0,0.59557521,0.16575457,1.0,0.79355496,0.13890566,0.33226019
41,20,female,adult,dry & plenty,102.7195438,35.10644595,872.9489798,326.2722065,18.33325991,21.63935518,0,1568.172969,347.5984636,3234.966293,1027.341026,53.47571997,7.0,5,5,6,1.0,1.0,0.79627752,1.784147,0.58962733,-1.0956897,-1.2026639,-0.27408808,0.66452801,0.39929509,0.26128155,-0.24052987,0.007044493,1.0,0.40784025,0.13580193,1.0,0.75727367,0.13349329,0.40421033
43,20,female,adult,dry & plenty,54.21377798,10.15887741,467.0759054,212.5964385,9.361514976,14.70892557,0,751.9796139,217.588595,2176.58917,1225.468829,50.5703345,4.0,2,2,3,1.0,1.0,0.66685069,1.3557516,0.66934586,-3.3317137,-2.20121,-0.31380454,1.1758292,-0.22753455,-0.58222532,-0.78525972,-0.34798348,1.0,0.26574555,0.069344558,0.67996436,0.66917574,0.10417268,0.35984653
44,12,female,child,dry & plenty,43.97441849,14.693461,321.4028795,133.1301444,7.117479486,10.33335449,0,521.1850448,118.3950336,1593.910341,756.7502423,19.75255465,3.0,3,3,5,1.0,1.0,0.8478362,1.9611919,0.40807897,-0.2049436,-0.78999031,-0.73082739,-0.49989226,0.24998753,-0.85228807,-1.2353781,-1.413107,1.0,0.2662603,0.16484959,0.98662525,0.7362892,0.12354215,0.22675018
45,18,female,adult,dry & plenty,98.80817898,49.33347565,510.901134,401.6253164,15.80610556,21.51125,0,1393.147009,209.0119924,2877.828968,574.5666998,129.5237446,8.0,5,6,7,1.0,1.0,0.85444188,2.2451274,0.52628905,-0.090821438,-0.12816533,0.056882441,0.25828707,0.0,0.25195006,-0.042043466,0.86395007,,0.50203162,0.13421276,0.65316248,,0.11000821,0.51128805
